epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.05104,3.04331,4.35445,4.27952,0.00331,0.75,0.00384,0.00146,2.0306,3.59609,4.15731,0.00013336,0.00013336,0.00013336
2,8.29166,2.96438,4.35348,4.24492,0.00324,0.72222,0.0034,0.0013,2.03083,3.59859,4.15067,0.000280584,0.000280584,0.000280584
3,11.7299,3.0194,4.30336,4.19976,0.00337,0.77778,0.00351,0.00142,2.03452,3.59148,4.13531,0.000424838,0.000424838,0.000424838
4,14.2136,3.14115,4.54036,4.16036,0.00339,0.72222,0.00413,0.00158,2.03518,3.58481,4.11169,0.000566122,0.000566122,0.000566122
5,16.6369,2.89256,4.18189,4.08189,0.00374,0.91667,0.00431,0.00167,2.003,3.58488,4.0597,0.000704434,0.000704434,0.000704434
6,18.9501,3.03168,4.21163,4.09551,0.00383,0.91667,0.00561,0.00249,1.95116,3.55613,3.9905,0.000839776,0.000839776,0.000839776
7,21.4219,3.0645,3.89121,3.9864,0.00389,0.91667,0.00826,0.00352,1.88385,3.43243,3.90136,0.000972148,0.000972148,0.000972148
8,23.0348,3.00162,4.03971,3.85885,0.00349,0.97222,0.03735,0.02717,1.88888,3.35809,3.88792,0.00110155,0.00110155,0.00110155
9,24.7741,2.95039,3.95739,3.77136,0.00185,0.61111,0.06697,0.02758,2.08489,3.39998,3.53722,0.00122798,0.00122798,0.00122798
10,27.1978,3.00371,3.6093,3.71313,0.0023,0.69444,0.09255,0.02374,2.23423,3.4885,3.34978,0.00135144,0.00135144,0.00135144
11,29.3581,3.0647,3.36996,3.64137,0.00451,0.69444,0.08207,0.02172,2.60432,4.67214,3.29016,0.00147193,0.00147193,0.00147193
12,31.6466,2.77802,3.62368,3.57273,0.02806,0.72222,0.0548,0.01319,2.73582,6.63192,3.39754,0.00148546,0.00148546,0.00148546
13,33.1282,2.7502,3.968,3.4927,0.01237,0.69444,0.082,0.01574,2.72937,11.5134,3.96541,0.00146896,0.00146896,0.00146896
14,34.9112,2.93682,3.5213,3.57304,0.03225,0.55556,0.07386,0.01971,2.5859,8.01226,4.83919,0.00145246,0.00145246,0.00145246
15,36.7806,2.9499,3.13931,3.47804,0.09626,0.33333,0.10915,0.03426,2.97524,14.7034,6.90318,0.00143595,0.00143595,0.00143595
16,40.0774,2.97787,3.59522,3.50526,0.0346,0.30556,0.08142,0.02114,2.56755,5.8827,6.73254,0.00141945,0.00141945,0.00141945
17,42.065,3.05163,3.56967,3.53176,0.02645,0.27778,0.05365,0.01412,2.65065,4.5737,4.71244,0.00140295,0.00140295,0.00140295
18,45.053,3.12457,3.16484,3.4762,0.10069,0.53993,0.15513,0.03989,2.72631,5.01567,3.65746,0.00138644,0.00138644,0.00138644
19,47.2739,2.89884,3.18884,3.3952,0.70153,0.13889,0.27689,0.0695,2.7483,4.59361,3.62792,0.00136994,0.00136994,0.00136994
20,49.4179,2.91856,3.09239,3.42223,0.1245,0.16667,0.12059,0.0279,2.30064,7.23598,3.84614,0.00135344,0.00135344,0.00135344
21,52.2702,2.82094,3.13137,3.33675,0.13228,0.22222,0.14108,0.0444,1.93237,6.7265,3.93198,0.00133693,0.00133693,0.00133693
22,54.3276,2.77689,3.07591,3.30009,0.19929,0.16667,0.13486,0.04527,2.66211,7.76263,3.68592,0.00132043,0.00132043,0.00132043
23,56.9548,2.84385,3.099,3.32506,0.42176,0.08333,0.10677,0.03507,2.50022,5.78525,3.60781,0.00130393,0.00130393,0.00130393
24,59.2738,2.62878,2.8915,3.24341,0.14937,0.57768,0.21305,0.06304,2.43269,3.79686,3.20296,0.00128742,0.00128742,0.00128742
25,61.3263,2.62512,2.92238,3.20422,0.76831,0.05556,0.09945,0.03191,1.82686,3.48444,3.92607,0.00127092,0.00127092,0.00127092
26,62.8073,2.63442,2.93168,3.22987,0.15613,0.13889,0.11556,0.03531,1.83544,3.23633,3.66213,0.00125442,0.00125442,0.00125442
27,64.3907,2.65652,2.73086,3.22365,0.08488,0.58333,0.17058,0.05847,2.27038,4.70358,3.0891,0.00123791,0.00123791,0.00123791
28,66.0637,2.82874,2.9532,3.29539,0.44908,0.46666,0.46677,0.15648,1.89918,2.26744,3.55269,0.00122141,0.00122141,0.00122141
29,68.0262,2.62665,2.54737,3.15327,0.22,0.16667,0.12409,0.0464,1.8496,3.02904,4.06072,0.00120491,0.00120491,0.00120491
30,69.7392,2.56907,2.55772,3.19716,0.36862,0.13889,0.19768,0.08663,1.96772,2.84685,3.45914,0.0011884,0.0011884,0.0011884
31,71.501,2.67184,2.93914,3.26048,0.58441,0.27778,0.24457,0.06274,2.13961,2.7136,3.23037,0.0011719,0.0011719,0.0011719
32,73.3194,2.44768,2.5926,3.14411,0.40911,0.5,0.48203,0.15388,2.3611,3.19833,2.86216,0.0011554,0.0011554,0.0011554
33,74.8849,2.48145,2.5009,3.08561,0.34543,0.38889,0.33896,0.09305,2.28546,2.57104,2.93192,0.00113889,0.00113889,0.00113889
34,76.4302,2.56165,2.72265,3.14425,0.33861,0.05556,0.0982,0.02796,1.96671,3.76174,3.79945,0.00112239,0.00112239,0.00112239
35,79.1718,2.59599,2.42031,3.12845,0.20494,0.13889,0.14413,0.04814,2.17664,3.85053,4.2011,0.00110589,0.00110589,0.00110589
36,81.322,2.37565,2.86086,3.14759,0.21038,0.19444,0.19889,0.05533,2.13905,3.5908,3.33975,0.00108938,0.00108938,0.00108938
37,83.0975,2.68467,2.78371,2.99174,0.6899,0.22222,0.25429,0.07223,1.92945,3.2705,3.17693,0.00107288,0.00107288,0.00107288
38,84.6481,2.37024,2.36426,3.05116,0.37031,0.22222,0.22909,0.08688,2.32638,2.97552,2.90264,0.00105638,0.00105638,0.00105638
39,86.0906,2.24912,2.38473,3.00065,0.16172,0.36111,0.20545,0.08449,2.20499,2.87451,2.84712,0.00103987,0.00103987,0.00103987
40,87.7275,2.47809,2.28319,2.97958,0.45897,0.5,0.46066,0.1573,2.09029,1.75355,2.85176,0.00102337,0.00102337,0.00102337
41,89.3812,2.31931,2.23603,3.00229,0.54475,0.513,0.5026,0.19785,2.27768,2.03727,3.01474,0.00100687,0.00100687,0.00100687
42,90.9684,2.50569,2.37944,2.98136,0.33972,0.63889,0.46626,0.19121,2.3293,1.97638,3.05382,0.000990365,0.000990365,0.000990365
43,92.4383,2.32123,2.27486,2.93348,0.32648,0.47222,0.44899,0.19364,2.01469,2.15952,2.85936,0.000973861,0.000973861,0.000973861
44,94.1939,2.33236,2.55377,3.01425,0.62217,0.57467,0.6926,0.28503,2.00349,1.51004,2.85265,0.000957358,0.000957358,0.000957358
45,96.0462,2.50062,2.31001,2.9977,0.80423,0.60636,0.70874,0.2887,1.94868,1.54766,2.77505,0.000940855,0.000940855,0.000940855
46,97.8912,2.37867,2.25359,2.95951,0.53555,0.38889,0.48499,0.19715,1.95136,2.01562,2.86782,0.000924352,0.000924352,0.000924352
47,99.7369,2.3074,2.17121,2.97728,0.2068,0.38889,0.38383,0.14471,1.88739,2.25527,2.84506,0.000907848,0.000907848,0.000907848
48,101.121,2.22077,2.15008,2.84507,0.77747,0.63889,0.79309,0.29511,2.08359,1.41616,2.79215,0.000891345,0.000891345,0.000891345
49,103.252,2.33156,2.0181,2.86785,0.7066,0.61243,0.70504,0.29702,1.96927,1.39554,2.76921,0.000874842,0.000874842,0.000874842
50,104.971,2.19168,2.28511,2.95285,0.74463,0.60509,0.65897,0.23521,2.12985,1.69726,2.96319,0.000858338,0.000858338,0.000858338
51,106.566,2.14108,2.15201,2.74798,0.914,0.75732,0.85223,0.3484,2.00611,1.43008,2.87596,0.000841835,0.000841835,0.000841835
52,108.254,2.19812,1.94029,2.79447,0.47814,0.4728,0.47733,0.17463,2.06603,1.95745,2.89472,0.000825332,0.000825332,0.000825332
53,109.885,2.15975,1.92465,2.76932,0.6766,0.70237,0.76204,0.29261,2.06064,1.55256,2.84045,0.000808828,0.000808828,0.000808828
54,112.423,2.18709,2.12593,2.71768,0.81988,0.64708,0.86969,0.36859,1.86993,1.47462,2.68733,0.000792325,0.000792325,0.000792325
