epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,399.637,1.0963,0.78487,2.36738,0.99544,1,0.995,0.85062,0.67598,0.43276,1.97498,0.000990365,0.000990365,0.000990365
43,409.07,1.13478,0.79733,2.45465,0.99576,0.9898,0.9948,0.83511,0.70911,0.46386,1.99129,0.000973861,0.000973861,0.000973861
44,418.345,1.06318,0.76321,2.33705,0.98551,0.9898,0.99262,0.85858,0.64809,0.46637,1.99221,0.000957358,0.000957358,0.000957358
45,427.748,1.05746,0.76996,2.34943,0.99563,1,0.995,0.84788,0.68125,0.43523,1.98589,0.000940855,0.000940855,0.000940855
46,437.083,1.0794,0.76677,2.33389,0.99657,1,0.995,0.83723,0.69665,0.45521,2.05825,0.000924352,0.000924352,0.000924352
47,446.492,1.0463,0.76651,2.32547,0.99685,0.99981,0.995,0.85802,0.63243,0.4397,1.85374,0.000907848,0.000907848,0.000907848
48,455.896,1.04394,0.75605,2.34137,0.99794,1,0.995,0.87117,0.64078,0.45182,1.95328,0.000891345,0.000891345,0.000891345
49,465.435,1.04109,0.75251,2.32636,0.97846,0.97847,0.99401,0.85377,0.64618,0.46385,1.97949,0.000874842,0.000874842,0.000874842
50,474.467,1.05536,0.76201,2.31846,0.98724,0.99314,0.9948,0.8634,0.61671,0.44454,1.92176,0.000858338,0.000858338,0.000858338
51,484.105,1.039,0.73481,2.28688,0.99791,1,0.995,0.87353,0.60436,0.40861,1.90008,0.000841835,0.000841835,0.000841835
52,492.879,1.02336,0.73583,2.28221,0.99471,1,0.995,0.85573,0.63089,0.43154,1.96981,0.000825332,0.000825332,0.000825332
53,502.158,1.04052,0.75554,2.32433,0.98489,1,0.995,0.86694,0.62201,0.44765,1.81429,0.000808828,0.000808828,0.000808828
54,511.833,0.99628,0.71262,2.25316,0.98643,0.98924,0.99422,0.86853,0.59328,0.43066,1.81323,0.000792325,0.000792325,0.000792325
55,521.175,1.01642,0.71458,2.28619,0.99771,1,0.995,0.86536,0.62023,0.41606,1.88642,0.000775822,0.000775822,0.000775822
56,530.49,1.0121,0.7448,2.27954,0.99596,0.98904,0.9948,0.87158,0.60112,0.41341,1.90281,0.000759318,0.000759318,0.000759318
57,539.731,0.99702,0.7239,2.26942,0.99664,1,0.995,0.85932,0.63271,0.40739,1.84117,0.000742815,0.000742815,0.000742815
58,549.027,1.00183,0.72486,2.28986,0.99577,1,0.995,0.86168,0.61041,0.4068,1.79882,0.000726312,0.000726312,0.000726312
59,558.33,0.97206,0.70228,2.26131,0.99737,1,0.995,0.86212,0.61275,0.41974,1.8898,0.000709809,0.000709809,0.000709809
60,567.537,0.97842,0.69191,2.22233,0.99661,1,0.995,0.86124,0.64275,0.42819,1.78426,0.000693305,0.000693305,0.000693305
61,577.122,0.97212,0.6996,2.25645,0.99482,0.99913,0.995,0.87707,0.5838,0.41683,1.77933,0.000676802,0.000676802,0.000676802
62,586.694,0.96109,0.68642,2.21033,0.99838,1,0.995,0.8763,0.60531,0.39838,1.82552,0.000660299,0.000660299,0.000660299
63,595.434,0.96363,0.69525,2.1956,0.99665,1,0.995,0.88844,0.549,0.3983,1.77412,0.000643795,0.000643795,0.000643795
64,605.181,0.96394,0.67879,2.18412,0.99645,1,0.995,0.88396,0.56882,0.4045,1.74188,0.000627292,0.000627292,0.000627292
65,614.267,0.97515,0.68604,2.22421,0.99761,1,0.995,0.88006,0.5723,0.3903,1.79338,0.000610789,0.000610789,0.000610789
66,623.575,0.95036,0.69063,2.19178,0.9946,0.99935,0.995,0.89195,0.56859,0.3933,1.76352,0.000594286,0.000594286,0.000594286
67,632.915,0.95552,0.67836,2.19601,0.9981,1,0.995,0.88232,0.56113,0.3831,1.73149,0.000577782,0.000577782,0.000577782
68,642.055,0.93482,0.68564,2.18974,0.99696,0.99937,0.995,0.8821,0.57254,0.40344,1.74331,0.000561279,0.000561279,0.000561279
69,651.174,0.94324,0.66573,2.17553,0.99849,1,0.995,0.88572,0.56743,0.36795,1.74356,0.000544776,0.000544776,0.000544776
70,660.541,0.9315,0.67514,2.19628,0.99601,1,0.995,0.88623,0.59041,0.4013,1.7019,0.000528272,0.000528272,0.000528272
71,669.541,0.92266,0.6654,2.1185,0.9823,0.99035,0.9948,0.8904,0.53564,0.38491,1.6167,0.000511769,0.000511769,0.000511769
72,679.099,0.92653,0.66315,2.14758,0.99162,0.9988,0.995,0.89075,0.56263,0.38913,1.66733,0.000495266,0.000495266,0.000495266
73,688.171,0.91456,0.65839,2.13784,0.99763,1,0.995,0.87469,0.56132,0.38248,1.78314,0.000478762,0.000478762,0.000478762
74,697.301,0.92907,0.66537,2.17084,0.99798,1,0.995,0.876,0.57544,0.38741,1.64219,0.000462259,0.000462259,0.000462259
75,706.486,0.90651,0.64911,2.12351,0.99664,1,0.995,0.88979,0.55863,0.37865,1.60471,0.000445756,0.000445756,0.000445756
76,715.734,0.89431,0.63271,2.1472,0.99802,1,0.995,0.88229,0.55162,0.36573,1.64217,0.000429253,0.000429253,0.000429253
77,725.241,0.89542,0.66172,2.14562,0.99665,1,0.995,0.89614,0.53037,0.37469,1.67012,0.000412749,0.000412749,0.000412749
78,734.589,0.90044,0.65251,2.13692,0.99747,1,0.995,0.88113,0.54284,0.38807,1.68722,0.000396246,0.000396246,0.000396246
79,744.108,0.88387,0.64409,2.12517,0.99664,0.99987,0.995,0.89077,0.53453,0.36919,1.66235,0.000379743,0.000379743,0.000379743
80,753.209,0.87225,0.63873,2.07955,0.99452,1,0.995,0.90358,0.52844,0.3763,1.6409,0.000363239,0.000363239,0.000363239
81,762.459,0.90149,0.65234,2.14464,0.99068,0.99878,0.995,0.89924,0.5266,0.36405,1.60623,0.000346736,0.000346736,0.000346736
82,771.63,0.87326,0.62545,2.05607,0.9935,0.9898,0.9948,0.90305,0.51946,0.37973,1.55046,0.000330233,0.000330233,0.000330233
83,780.814,0.86479,0.62215,2.08559,0.99704,1,0.995,0.89791,0.5121,0.36273,1.59586,0.000313729,0.000313729,0.000313729
84,789.923,0.86931,0.61907,2.135,0.99699,0.99976,0.995,0.89675,0.51152,0.36513,1.59609,0.000297226,0.000297226,0.000297226
85,799.219,0.86564,0.62895,2.08499,0.99723,1,0.995,0.90344,0.50082,0.36029,1.61832,0.000280723,0.000280723,0.000280723
86,808.448,0.84766,0.6208,2.0954,0.99626,1,0.995,0.89713,0.51142,0.36747,1.56277,0.00026422,0.00026422,0.00026422
87,817.737,0.85596,0.61665,2.06611,0.9982,0.98657,0.9948,0.894,0.52033,0.37115,1.61038,0.000247716,0.000247716,0.000247716
88,826.676,0.84606,0.59982,2.06944,0.99668,1,0.995,0.89436,0.51253,0.35671,1.57612,0.000231213,0.000231213,0.000231213
89,835.92,0.85529,0.61767,2.07608,0.9792,0.9983,0.9946,0.89933,0.50234,0.36578,1.55837,0.00021471,0.00021471,0.00021471
90,845.212,0.85205,0.6061,2.08934,0.99294,0.99894,0.995,0.89523,0.50903,0.36311,1.58113,0.000198206,0.000198206,0.000198206
91,856.088,0.57856,0.41386,1.59694,0.99791,1,0.995,0.90736,0.50119,0.36387,1.58785,0.000181703,0.000181703,0.000181703
92,864.149,0.5396,0.37726,1.55808,0.9978,1,0.995,0.91443,0.50131,0.35731,1.52974,0.0001652,0.0001652,0.0001652
93,872.538,0.5397,0.37484,1.56174,0.99824,1,0.995,0.90776,0.50506,0.34403,1.5614,0.000148696,0.000148696,0.000148696
94,881.076,0.54017,0.37366,1.537,0.99777,1,0.995,0.90801,0.49808,0.34966,1.52976,0.000132193,0.000132193,0.000132193
95,889.423,0.53292,0.36597,1.50594,0.99737,1,0.995,0.91047,0.49097,0.34495,1.53322,0.00011569,0.00011569,0.00011569
96,897.466,0.52596,0.35957,1.49328,0.99844,1,0.995,0.91112,0.49258,0.34226,1.55437,9.91865e-05,9.91865e-05,9.91865e-05
97,906.211,0.52671,0.36762,1.48704,0.99848,1,0.995,0.9167,0.49154,0.34504,1.53478,8.26832e-05,8.26832e-05,8.26832e-05
98,914.305,0.51425,0.3604,1.47454,0.99713,1,0.995,0.91733,0.4831,0.34822,1.51307,6.61799e-05,6.61799e-05,6.61799e-05
99,922.776,0.51758,0.36368,1.45803,0.99852,1,0.995,0.91832,0.48466,0.34584,1.49021,4.96766e-05,4.96766e-05,4.96766e-05
100,931.111,0.51616,0.36027,1.45897,0.99841,1,0.995,0.9151,0.47796,0.34082,1.51199,3.31733e-05,3.31733e-05,3.31733e-05
