epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,82.7326,2.45545,2.42162,3.01274,0.54617,0.58333,0.61692,0.24698,2.14363,3.09102,2.82638,0.00159934,0.00159934,0.00159934
43,84.619,2.29197,2.30715,2.888,0.61145,0.76364,0.72588,0.23334,2.01146,2.16102,2.81472,0.00159769,0.00159769,0.00159769
44,86.8054,2.29091,2.49253,2.96514,0.47217,0.66931,0.64968,0.26602,2.0426,2.02431,2.82549,0.00159604,0.00159604,0.00159604
45,88.5259,2.3718,2.16234,2.83708,0.48212,0.61111,0.60072,0.24833,2.03671,2.01789,2.8387,0.00159439,0.00159439,0.00159439
46,90.4283,2.3691,2.26131,2.93011,0.61282,0.58333,0.70897,0.28258,1.85972,2.11076,2.73183,0.00159274,0.00159274,0.00159274
47,92.0866,2.26202,1.94628,2.96732,0.55765,0.71596,0.66432,0.31206,1.97896,1.84952,2.84043,0.00159108,0.00159108,0.00159108
48,93.5763,2.30471,2.18212,2.91385,0.51247,0.74773,0.71051,0.28291,1.88657,2.022,2.72047,0.00158943,0.00158943,0.00158943
49,95.3047,2.39898,2.09768,2.86053,0.73151,0.79369,0.80937,0.37608,2.20199,2.50556,3.02911,0.00158778,0.00158778,0.00158778
50,96.6815,2.11022,2.29111,2.87573,0.62227,0.69985,0.7611,0.37549,2.04202,2.30457,2.90743,0.00158613,0.00158613,0.00158613
51,98.1671,2.16973,2.15408,2.78358,0.52821,0.59195,0.65938,0.32523,2.03456,2.09261,2.90562,0.00158448,0.00158448,0.00158448
52,99.6118,2.14429,2.00096,2.79361,0.2927,0.61111,0.39912,0.13438,2.39553,1.81821,3.13263,0.00158283,0.00158283,0.00158283
53,100.918,2.16826,1.99291,2.79949,0.51141,0.40464,0.40704,0.14673,2.16334,2.08479,2.88337,0.00158118,0.00158118,0.00158118
54,102.368,2.17374,2.09687,2.7388,0.52982,0.69444,0.6687,0.23937,1.99496,1.89957,2.76087,0.00157953,0.00157953,0.00157953
55,103.778,2.15125,2.18002,2.75865,0.39337,0.58333,0.48234,0.22857,1.92559,1.80753,2.64336,0.00157788,0.00157788,0.00157788
