epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.39312,3.04331,4.35445,4.27952,0.00331,0.75,0.00384,0.00146,2.0306,3.59609,4.15731,0.00013336,0.00013336,0.00013336
2,7.00455,2.96438,4.35348,4.24492,0.00324,0.72222,0.0034,0.0013,2.03083,3.59859,4.15067,0.000280584,0.000280584,0.000280584
3,9.49037,3.0194,4.30336,4.19976,0.00337,0.77778,0.00351,0.00142,2.03452,3.59148,4.13531,0.000424838,0.000424838,0.000424838
4,11.1995,3.14115,4.54036,4.16036,0.00339,0.72222,0.00413,0.00158,2.03518,3.58481,4.11169,0.000566122,0.000566122,0.000566122
5,12.9136,2.89256,4.18189,4.08189,0.00374,0.91667,0.00431,0.00167,2.003,3.58488,4.0597,0.000704434,0.000704434,0.000704434
6,14.6933,3.03168,4.21163,4.09551,0.00383,0.91667,0.00561,0.00249,1.95116,3.55613,3.9905,0.000839776,0.000839776,0.000839776
7,16.4461,3.0645,3.89121,3.9864,0.00389,0.91667,0.00826,0.00352,1.88385,3.43243,3.90136,0.000972148,0.000972148,0.000972148
8,18.0338,3.00162,4.03971,3.85885,0.00349,0.97222,0.03735,0.02717,1.88888,3.35809,3.88792,0.00110155,0.00110155,0.00110155
9,19.6754,2.95039,3.95739,3.77136,0.00185,0.61111,0.06697,0.02758,2.08489,3.39998,3.53722,0.00122798,0.00122798,0.00122798
10,21.571,3.00371,3.6093,3.71313,0.0023,0.69444,0.09255,0.02374,2.23423,3.4885,3.34978,0.00135144,0.00135144,0.00135144
11,23.3143,3.0647,3.36996,3.64137,0.00451,0.69444,0.08207,0.02172,2.60432,4.67214,3.29016,0.00147193,0.00147193,0.00147193
12,25.124,2.77802,3.62368,3.57273,0.02806,0.72222,0.0548,0.01319,2.73582,6.63192,3.39754,0.00148546,0.00148546,0.00148546
13,26.6694,2.7502,3.968,3.4927,0.01237,0.69444,0.082,0.01574,2.72937,11.5134,3.96541,0.00146896,0.00146896,0.00146896
