epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.6748,2.49614,3.54232,3.91034,0.31156,0.35276,0.29552,0.11837,2.17453,3.19592,3.36826,0.000369183,0.000369183,0.000369183
2,103.545,2.06622,2.28238,3.28565,0.61957,0.59598,0.60018,0.3334,1.55946,1.72323,2.86121,0.000732195,0.000732195,0.000732195
3,154.284,1.7567,1.7665,3.02301,0.76378,0.71291,0.77885,0.47083,1.37532,1.41409,2.68934,0.00108787,0.00108787,0.00108787
4,204.528,1.59951,1.5002,2.85471,0.75063,0.76296,0.79445,0.53155,1.21647,1.19712,2.5571,0.001078,0.001078,0.001078
5,256.244,1.51046,1.36038,2.75266,0.79979,0.84016,0.86379,0.56644,1.19355,0.98012,2.40927,0.001067,0.001067,0.001067
6,308.859,1.44178,1.2503,2.65485,0.8005,0.8187,0.87017,0.58581,1.11106,0.9095,2.36713,0.00105601,0.00105601,0.00105601
7,364.161,1.37386,1.17095,2.59919,0.85457,0.86523,0.91439,0.64056,1.07169,0.79623,2.24238,0.00104501,0.00104501,0.00104501
8,417.086,1.33622,1.12686,2.55094,0.86311,0.88703,0.91382,0.65641,1.0296,0.75854,2.24995,0.00103401,0.00103401,0.00103401
9,471.636,1.2878,1.05718,2.49738,0.90086,0.89974,0.93203,0.6717,0.96695,0.69821,2.17019,0.00102301,0.00102301,0.00102301
10,528.208,1.25184,1.03361,2.45583,0.91945,0.8879,0.92967,0.67493,0.93511,0.68848,2.15194,0.00101201,0.00101201,0.00101201
11,584.097,1.22518,1.00133,2.42016,0.88559,0.91801,0.92873,0.69417,0.89052,0.64327,2.06186,0.00100101,0.00100101,0.00100101
12,638.113,1.20942,0.9775,2.40124,0.91926,0.89126,0.9292,0.70077,0.86741,0.64224,2.06334,0.000990012,0.000990012,0.000990012
13,689.944,1.17782,0.9383,2.34587,0.90786,0.92622,0.93701,0.70604,0.88824,0.60802,2.04684,0.000979013,0.000979013,0.000979013
14,745.331,1.17217,0.92722,2.32853,0.90333,0.90788,0.9421,0.71114,0.85668,0.60332,2.00236,0.000968014,0.000968014,0.000968014
15,800.978,1.14953,0.90279,2.31656,0.92306,0.93652,0.9439,0.70562,0.85985,0.5831,1.95193,0.000957015,0.000957015,0.000957015
16,854.869,1.13853,0.88702,2.28706,0.92633,0.9213,0.94587,0.72317,0.83974,0.56174,1.93934,0.000946016,0.000946016,0.000946016
