epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.5714,3.04294,4.2182,4.17921,0.13449,0.19041,0.09043,0.02416,2.32547,3.60247,4.07933,0.00332656,0.00332656,0.00332656
2,127.146,2.39896,2.67543,3.15861,0.76138,0.66064,0.78164,0.44941,1.3887,2.00453,2.43005,0.0066533,0.0066533,0.0066533
3,196.515,1.57905,1.57965,2.25442,0.9028,0.92615,0.9691,0.71288,0.96995,1.02228,1.79642,0.00997344,0.00997344,0.00997344
