epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3392.59,0.86198,0.62085,2.27154,0.88797,0.95398,0.9413,0.79514,0.58488,0.44265,1.83037,0.005842,0.005842,0.005842
44,3476.62,0.86033,0.61922,2.27343,0.88748,0.95502,0.9418,0.80028,0.57841,0.43375,1.81751,0.005743,0.005743,0.005743
45,3559.98,0.86035,0.61592,2.27455,0.89063,0.95048,0.93933,0.79706,0.58322,0.44116,1.81055,0.005644,0.005644,0.005644
46,3645.01,0.85735,0.62005,2.26213,0.9006,0.93878,0.94171,0.79963,0.57429,0.4365,1.80649,0.005545,0.005545,0.005545
47,3730.76,0.84721,0.60952,2.24795,0.89496,0.94695,0.94056,0.80337,0.57276,0.43835,1.79313,0.005446,0.005446,0.005446
48,3815.63,0.84289,0.60762,2.24612,0.88565,0.96207,0.9427,0.80107,0.57109,0.43528,1.78714,0.005347,0.005347,0.005347
49,3899.13,0.84072,0.60525,2.24952,0.89587,0.94803,0.94365,0.80749,0.56426,0.42956,1.78069,0.005248,0.005248,0.005248
50,3982.77,0.83282,0.59813,2.23577,0.89006,0.95222,0.93862,0.80532,0.56283,0.43267,1.77848,0.005149,0.005149,0.005149
51,4067.56,0.8281,0.59464,2.2333,0.89679,0.95072,0.94357,0.80951,0.5625,0.4295,1.78755,0.00505,0.00505,0.00505
52,4151.92,0.82784,0.59968,2.21914,0.89269,0.95386,0.9457,0.81548,0.55438,0.42415,1.7607,0.004951,0.004951,0.004951
53,4236.36,0.82685,0.60116,2.22261,0.89275,0.95484,0.94024,0.80678,0.55199,0.42911,1.74472,0.004852,0.004852,0.004852
54,4320.1,0.82721,0.5953,2.2171,0.88918,0.95315,0.93846,0.80794,0.55274,0.42403,1.74517,0.004753,0.004753,0.004753
55,4403.75,0.82031,0.5925,2.21619,0.89324,0.9532,0.94096,0.81132,0.54464,0.42226,1.7418,0.004654,0.004654,0.004654
56,4488.2,0.8144,0.58996,2.20005,0.88681,0.96082,0.94024,0.81367,0.54555,0.4229,1.7431,0.004555,0.004555,0.004555
57,4571.97,0.81578,0.58877,2.19914,0.89085,0.95682,0.94248,0.81263,0.54284,0.41738,1.7321,0.004456,0.004456,0.004456
