epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.5146,3.04294,4.2182,4.17921,0.13449,0.19041,0.09043,0.02416,2.32547,3.60247,4.07933,0.00332656,0.00332656,0.00332656
2,127.479,2.39638,2.68845,3.15789,0.65646,0.66142,0.66685,0.38339,1.46077,2.07045,2.51628,0.00662693,0.00662693,0.00662693
3,189.088,1.57341,1.60981,2.26551,0.93477,0.87976,0.96147,0.67403,1.0533,0.92887,1.8706,0.00989429,0.00989429,0.00989429
4,254.011,1.15557,1.04411,1.80399,0.97473,0.98633,0.99358,0.83849,0.63945,0.67966,1.36155,0.0098515,0.0098515,0.0098515
5,318.764,0.96429,0.79735,1.58158,0.99145,0.98803,0.99475,0.83812,0.62313,0.4711,1.34142,0.009802,0.009802,0.009802
6,379.491,0.85796,0.67587,1.47478,0.98587,0.99345,0.99449,0.88077,0.52101,0.40871,1.18061,0.0097525,0.0097525,0.0097525
7,441.581,0.80476,0.62104,1.41756,0.97237,0.98185,0.9942,0.87781,0.50029,0.39931,1.15865,0.009703,0.009703,0.009703
8,502.717,0.77364,0.57492,1.38542,0.9919,0.99646,0.99498,0.89833,0.46907,0.36356,1.13952,0.0096535,0.0096535,0.0096535
9,563.754,0.74438,0.54495,1.35198,0.99218,0.96605,0.99023,0.89663,0.47058,0.37679,1.12539,0.009604,0.009604,0.009604
10,625.485,0.72436,0.52565,1.33387,0.98436,0.99286,0.99428,0.89812,0.47215,0.32856,1.14437,0.0095545,0.0095545,0.0095545
11,686.605,0.71336,0.50773,1.32131,0.9927,0.99514,0.9945,0.89829,0.45003,0.30624,1.12464,0.009505,0.009505,0.009505
12,753.953,0.68452,0.49424,1.29795,0.98939,0.9917,0.99471,0.90361,0.44283,0.32363,1.09057,0.0094555,0.0094555,0.0094555
13,815.754,0.68472,0.48084,1.29699,0.99791,0.99611,0.995,0.91408,0.42255,0.27885,1.0772,0.009406,0.009406,0.009406
14,876.646,0.65933,0.46023,1.27185,0.99137,0.99724,0.99474,0.91508,0.4246,0.29979,1.07673,0.0093565,0.0093565,0.0093565
15,938.184,0.65979,0.45158,1.27233,0.99581,0.99516,0.99454,0.92382,0.40985,0.27225,1.05584,0.009307,0.009307,0.009307
16,999.505,0.65505,0.4542,1.26319,0.99659,0.99733,0.995,0.92052,0.41202,0.26728,1.05103,0.0092575,0.0092575,0.0092575
17,1060.31,0.64973,0.44672,1.25438,0.9962,1,0.995,0.92267,0.40949,0.26839,1.05852,0.009208,0.009208,0.009208
18,1121.61,0.63888,0.43909,1.25278,0.9993,1,0.995,0.93005,0.38402,0.24995,1.04104,0.0091585,0.0091585,0.0091585
19,1183.37,0.63692,0.43199,1.24531,0.99806,1,0.995,0.93008,0.38388,0.24206,1.04275,0.009109,0.009109,0.009109
20,1244.59,0.63182,0.42742,1.2357,0.99923,1,0.995,0.93159,0.38617,0.24496,1.03483,0.0090595,0.0090595,0.0090595
21,1305.81,0.61465,0.41689,1.2208,0.99718,0.99962,0.995,0.92534,0.3816,0.24815,1.03255,0.00901,0.00901,0.00901
22,1368.11,0.62205,0.41198,1.22844,0.99907,1,0.995,0.9298,0.38943,0.232,1.04156,0.0089605,0.0089605,0.0089605
23,1438.05,0.60359,0.40875,1.21765,0.99945,1,0.995,0.92642,0.38321,0.22888,1.03054,0.008911,0.008911,0.008911
24,1505.94,0.60825,0.40602,1.21972,0.99978,1,0.995,0.92489,0.38666,0.22939,1.04179,0.0088615,0.0088615,0.0088615
25,1569.98,0.60318,0.40138,1.21165,0.99975,1,0.995,0.93778,0.3759,0.22141,1.03101,0.008812,0.008812,0.008812
26,1634.52,0.59459,0.39603,1.21201,0.99958,1,0.995,0.93079,0.37086,0.21851,1.03132,0.0087625,0.0087625,0.0087625
27,1695.98,0.59418,0.39136,1.20261,0.9996,1,0.995,0.93195,0.37403,0.21388,1.03075,0.008713,0.008713,0.008713
28,1757.46,0.58942,0.38376,1.20301,0.99925,1,0.995,0.93667,0.36144,0.21155,1.01663,0.0086635,0.0086635,0.0086635
29,1820.54,0.58825,0.38554,1.19657,0.99965,1,0.995,0.93835,0.36527,0.20495,1.00916,0.008614,0.008614,0.008614
30,1888.47,0.58116,0.37913,1.1916,0.99962,1,0.995,0.94115,0.3588,0.20491,1.01105,0.0085645,0.0085645,0.0085645
31,1964.24,0.58583,0.37919,1.19264,0.99965,1,0.995,0.93834,0.36003,0.20134,1.02179,0.008515,0.008515,0.008515
32,2025.64,0.58105,0.37281,1.18888,0.99967,1,0.995,0.93859,0.36092,0.20189,1.0231,0.0084655,0.0084655,0.0084655
33,2093,0.57496,0.36782,1.18324,0.99964,1,0.995,0.9351,0.36436,0.20434,1.0275,0.008416,0.008416,0.008416
34,2154.7,0.57702,0.36986,1.18179,0.99966,1,0.995,0.94128,0.35967,0.20208,1.01362,0.0083665,0.0083665,0.0083665
35,2216.46,0.57244,0.36766,1.18149,0.99956,1,0.995,0.93847,0.3579,0.20169,1.01632,0.008317,0.008317,0.008317
36,2278.26,0.57226,0.36326,1.17711,0.99954,1,0.995,0.94582,0.35157,0.19396,1.00329,0.0082675,0.0082675,0.0082675
37,2340.2,0.57044,0.36476,1.17094,0.99959,1,0.995,0.93881,0.35376,0.19342,1.01067,0.008218,0.008218,0.008218
38,2401.65,0.56145,0.35504,1.1682,0.99967,1,0.995,0.94426,0.35195,0.18726,1.01069,0.0081685,0.0081685,0.0081685
39,2469.76,0.56392,0.35814,1.16645,0.99958,1,0.995,0.94354,0.35741,0.19164,1.01847,0.008119,0.008119,0.008119
40,2534.7,0.56328,0.35414,1.16961,0.99969,1,0.995,0.9434,0.34954,0.18438,1.0138,0.0080695,0.0080695,0.0080695
41,2603.38,0.5588,0.34885,1.15885,0.99964,1,0.995,0.94579,0.34666,0.18331,1.0021,0.00802,0.00802,0.00802
42,2668.82,0.55363,0.34456,1.16326,0.99964,1,0.995,0.94353,0.34647,0.18549,1.00785,0.0079705,0.0079705,0.0079705
43,2732.2,0.55788,0.34984,1.16566,0.99965,1,0.995,0.94308,0.34169,0.18048,0.99498,0.007921,0.007921,0.007921
44,2798.19,0.54676,0.34255,1.15028,0.99973,1,0.995,0.94126,0.34535,0.1789,1.0017,0.0078715,0.0078715,0.0078715
45,2863.18,0.55038,0.34171,1.15779,0.99969,1,0.995,0.94355,0.34214,0.17674,0.9945,0.007822,0.007822,0.007822
46,2924.99,0.54872,0.34577,1.15146,0.9997,1,0.995,0.94685,0.34416,0.17826,0.99223,0.0077725,0.0077725,0.0077725
47,2991.6,0.54443,0.33648,1.15352,0.9997,1,0.995,0.94309,0.34592,0.17519,1.00276,0.007723,0.007723,0.007723
48,3059.21,0.54385,0.33323,1.15312,0.99955,1,0.995,0.94245,0.33913,0.17447,0.99708,0.0076735,0.0076735,0.0076735
49,3132.28,0.54971,0.33976,1.15251,0.99964,1,0.995,0.94121,0.34058,0.17247,1.00191,0.007624,0.007624,0.007624
50,3196.55,0.54374,0.33359,1.15514,0.99975,1,0.995,0.94799,0.33435,0.16963,0.99507,0.0075745,0.0075745,0.0075745
51,3259.27,0.54402,0.33613,1.14916,0.99969,1,0.995,0.94567,0.34097,0.1704,1.00274,0.007525,0.007525,0.007525
52,3326.37,0.53536,0.33186,1.14619,0.99922,1,0.995,0.94565,0.33518,0.17026,0.99736,0.0074755,0.0074755,0.0074755
53,3390.26,0.53844,0.32505,1.14522,0.9997,1,0.995,0.94551,0.33717,0.16921,1.00545,0.007426,0.007426,0.007426
